Division,season,n,skew_exante,p_fav_dv
CHN,2020,160,0.10443296600713613,0.5394320297123356
CHN,2021,164,0.1484996276322969,0.5623954147458534
CHN,2022,314,0.13909078805173491,0.5910383832208459
CHN,2023,238,0.19634452926905335,0.5446465026404813
CHN,2024,216,0.10803071025039697,0.5651151815315393
D1,2005,306,0.17981874789939162,0.5133499523559627
D1,2006,306,0.20341917075405186,0.5071042719599649
D1,2007,306,0.22353182335254718,0.5055572975172885
D1,2008,306,0.16648147983549727,0.5143101511179884
D1,2009,306,0.13343309327851405,0.5252133774995333
D1,2010,306,0.19319740754404546,0.5102510507041716
D1,2011,306,0.1950254956787241,0.512281435096094
D1,2012,306,0.17822023282559923,0.524431542496592
D1,2013,305,0.1955816781760667,0.5280784677142735
D1,2014,307,0.17668426960959954,0.5342561725685503
D1,2015,306,0.20127291462278502,0.5335116449693705
D1,2016,297,0.22531153602203505,0.527822404287911
D1,2017,315,0.2051271128626587,0.5258829086929577
D1,2018,306,0.2083874322391419,0.5227912546597602
D1,2019,306,0.1122701146359566,0.5581482661989295
D1,2020,270,0.16578241552073825,0.5467768363814304
D1,2021,342,0.14548164286240878,0.544124905453987
D1,2022,288,0.15293561601531763,0.5355370776690697
D1,2023,314,0.19594601503944964,0.5331997667289708
D1,2024,298,0.10336657987059407,0.5550922666798268
D1,2025,171,0.20478065339624352,0.5320985111031965
D2,2005,270,0.19735377777887345,0.4887514166549242
D2,2006,308,0.24417790665730585,0.4810654552224646
D2,2007,306,0.19871434781317598,0.4922082439028243
D2,2008,306,0.21135525850101905,0.49246343429487954
D2,2009,306,0.22186599292888373,0.48893479340721996
D2,2010,305,0.23889958243545076,0.4829541105986183
D2,2011,325,0.22884864032927588,0.4914642917888396
D2,2012,306,0.19945366102962178,0.4944162978580185
D2,2013,306,0.21067909938718604,0.48830642504359156
D2,2014,305,0.26561031531205576,0.47558142458458263
D2,2015,306,0.27768798222665536,0.4635000708232666
D2,2016,288,0.29230976098929223,0.455873996575439
D2,2017,315,0.2942246423851786,0.4554256143466049
D2,2018,306,0.2731356966761369,0.4612276623340814
D2,2019,306,0.2535234502132396,0.4752574418736068
D2,2020,260,0.2956073461585344,0.4623696658247129
D2,2021,352,0.25919114872160004,0.468530520387114
D2,2022,297,0.24083167211708528,0.47746282763259257
D2,2023,306,0.23453535313203328,0.4729643361605847
D2,2024,306,0.21560942848795905,0.48457401559639046
D2,2025,153,0.19152796529616806,0.4841763608235028
DEN,2013,187,0.27215389252703226,0.4709050649179613
DEN,2014,192,0.21912440549853587,0.4854383360519472
DEN,2015,203,0.25254543778040167,0.4840767110584878
DEN,2016,238,0.20679969429398368,0.5025773099828511
DEN,2017,241,0.2288775623416219,0.4950763000877652
DEN,2018,262,0.19339938980710883,0.5177657023425232
DEN,2019,251,0.21297247632550878,0.5021969948822967
DEN,2020,181,0.1852758423074554,0.4983223086879025
DEN,2021,217,0.2385854202895976,0.4860596833125923
